               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.037866,             0.15492,            0.011868,             0.31586,             0.36735,             0.28951,             0.17372,            0.043152,            0.089346,           0.0072521,           0.0031525,           0.0031525,           0.0031525
                  85,            0.038441,             0.16912,             0.01227,             0.32839,             0.36581,              0.2912,             0.17869,              0.0434,            0.089665,           0.0073575,             0.00307,             0.00307,             0.00307
                  86,            0.033283,             0.12769,           0.0081234,             0.31801,             0.35204,             0.28094,             0.17512,            0.043136,            0.091013,           0.0074973,           0.0029875,           0.0029875,           0.0029875
                  87,            0.032924,              0.1539,           0.0084919,              0.2742,             0.38265,             0.28521,              0.1716,            0.043804,            0.090439,           0.0071949,            0.002905,            0.002905,            0.002905
                  88,            0.035744,             0.14324,           0.0082878,             0.28651,             0.38946,             0.29156,             0.18499,            0.041924,            0.089392,           0.0070158,           0.0028225,           0.0028225,           0.0028225
                  89,            0.035585,             0.15301,           0.0096278,             0.29636,             0.39286,             0.29563,              0.1854,            0.041901,            0.089022,            0.006932,             0.00274,             0.00274,             0.00274
                  90,            0.034092,             0.12919,           0.0076076,             0.31765,              0.4565,             0.29876,             0.18809,            0.041678,            0.088594,            0.006672,           0.0026575,           0.0026575,           0.0026575
                  91,            0.030966,              0.1334,           0.0084101,             0.32305,             0.38205,             0.30332,             0.18162,            0.042043,            0.088915,            0.006687,            0.002575,            0.002575,            0.002575
                  92,            0.033842,             0.15679,           0.0094112,             0.34156,             0.46088,             0.31066,             0.18705,             0.04141,            0.089348,           0.0066763,           0.0024925,           0.0024925,           0.0024925
                  93,            0.033799,             0.13212,             0.00834,             0.35033,             0.45068,             0.30763,             0.19239,            0.041293,            0.088991,            0.006826,             0.00241,             0.00241,             0.00241
                  94,            0.032929,             0.13319,           0.0096068,             0.35683,              0.4339,             0.30615,             0.19264,            0.040425,            0.089286,           0.0069698,           0.0023275,           0.0023275,           0.0023275
                  95,            0.032045,             0.13357,           0.0091873,             0.34921,             0.36395,             0.30974,             0.19518,            0.041187,            0.088471,           0.0067733,            0.002245,            0.002245,            0.002245
                  96,            0.033495,             0.15339,           0.0089316,             0.39989,             0.34014,              0.3119,             0.19216,             0.04116,            0.087599,           0.0068559,           0.0021625,           0.0021625,           0.0021625
                  97,            0.031371,             0.13598,           0.0087661,             0.39336,             0.35204,             0.30864,             0.19537,            0.041435,            0.087815,            0.006875,             0.00208,             0.00208,             0.00208
                  98,            0.032481,             0.14263,           0.0098542,             0.39107,             0.35034,             0.31054,             0.19478,            0.041017,            0.087021,           0.0069913,           0.0019975,           0.0019975,           0.0019975
                  99,            0.034295,             0.16732,           0.0093312,             0.34507,             0.36905,             0.30854,             0.19707,            0.040378,            0.088193,           0.0073826,            0.001915,            0.001915,            0.001915
                 100,            0.031443,             0.13622,           0.0075465,             0.34466,             0.36577,             0.30539,             0.19355,             0.04038,             0.08778,           0.0075513,           0.0018325,           0.0018325,           0.0018325
                 101,            0.031282,             0.13835,           0.0072917,             0.36169,             0.35374,             0.30785,             0.19516,            0.040416,            0.086903,           0.0078761,             0.00175,             0.00175,             0.00175
                 102,             0.03104,             0.15406,           0.0069109,             0.36906,             0.35544,             0.31073,             0.19731,            0.040622,            0.086153,           0.0079542,           0.0016675,           0.0016675,           0.0016675
                 103,            0.032238,             0.13371,           0.0095756,              0.3772,             0.35374,             0.30407,             0.19979,            0.040408,            0.086455,           0.0080892,            0.001585,            0.001585,            0.001585
                 104,            0.032353,             0.15665,            0.009505,              0.3604,             0.35884,             0.30227,             0.19906,            0.039817,            0.086728,           0.0080846,           0.0015025,           0.0015025,           0.0015025
                 105,            0.030613,             0.15149,           0.0076055,             0.35366,             0.36054,             0.30356,              0.1978,            0.039987,            0.087589,           0.0079656,             0.00142,             0.00142,             0.00142
